id,title,role,start,due,estimate_hours,depends_on,percent_done,status
T01,"Сформировать команду, распределить роли, завести канал связи",PM,2026-09-14,2026-09-14,0.5,,0,Backlog
T02,"Выбрать трекер, подготовить обоснование (INFRASTRUCTURE.md §1)",PM,2026-09-14,2026-09-15,1,T01,0,Backlog
T03,Согласовать с DevOps сроки/ресурсы развёртывания трекера,"PM, DevOps",2026-09-15,2026-09-15,0.5,T02,0,Backlog
T04,"Выбрать ОС и состав сборочной инфраструктуры, обоснование (§3)",PM,2026-09-14,2026-09-15,1,T01,0,Backlog
T05,Согласовать с DevOps сроки/ресурсы развёртывания CI и git,"PM, DevOps",2026-09-15,2026-09-15,0.5,T04,0,Backlog
T06,"Выбрать IDE, правила оформления кода, регламент (§4, REGULATIONS.md)",PM,2026-09-14,2026-09-15,1,T01,0,Backlog
T07,"Согласовать с Заказчиком трекер, CI, git, IDE, ресурсы кафедры и сроки",PM,2026-09-16,2026-09-16,1,T02–T06,0,Backlog
T08,"Составить общее ТЗ (TZ.md), согласовать с Заказчиком",PM,2026-09-15,2026-09-16,2,T07,0,Backlog
T09,"Форк репозитория, защита ветки main, шаблон PR",DevOps,2026-09-16,2026-09-16,1,T07,0,Backlog
T10,"Развернуть трекер (Vikunja / GitHub Projects), настроить канбан",DevOps,2026-09-16,2026-09-17,2,T07,0,Backlog
T11,Завести всех участников проекта и Заказчика в трекере,DevOps,2026-09-17,2026-09-17,0.5,T10,0,Backlog
T12,"Завести все задачи проекта в трекере (этот список), назначить исполнителей и сроки",PM,2026-09-17,2026-09-17,1,T11,0,Backlog
T13,"Настроить CI: GitHub Actions (Linux GCC/Clang, Windows MSVC, macOS)",DevOps,2026-09-17,2026-09-19,3,T09,0,Backlog
T14,"Подготовить docker-compose для размещения на кафедре (Gitea, runner, Vikunja, code-server)",DevOps,2026-09-17,2026-09-19,3,T07,0,Backlog
T15,"Подготовить конфигурацию IDE в репозитории (.vscode, presets, clang-format)",DevOps,2026-09-17,2026-09-18,1,T06,0,Backlog
T16,"Сделать локальный клон, собрать исходный проект вручную, зафиксировать окружение",Dev,2026-09-16,2026-09-16,0.5,T09,0,Backlog
T17,"Ревизия исходного кода, журнал проблем (ISSUES.md)",Dev,2026-09-16,2026-09-18,3,T16,0,Backlog
T18,Согласовать с Dev перечень исправляемых ошибок,PM,2026-09-18,2026-09-18,0.5,T17,0,Backlog
T19,"Описать сборку исходного кода в CMake (CMakeLists.txt, presets)",Dev,2026-09-18,2026-09-19,2,T16,0,Backlog
T20,"Собрать проект в CI; убедиться, что сборка зелёная на всех платформах","DevOps, Dev",2026-09-19,2026-09-19,1,"T13, T19",0,Backlog
T21,Согласовать перечень тестов (TESTS.md) с Dev и DevOps,PM,2026-09-19,2026-09-22,1,T17,0,Backlog
T22,Согласовать перечень фичей (FEATURES.md) с Dev,PM,2026-09-19,2026-09-22,1,T17,0,Backlog
T23,"Рефакторинг: выделить ядро `lms_core` (Book, Student, Library) без ввода/вывода",Dev,2026-09-19,2026-09-22,5,T18,0,Backlog
T24,Рефакторинг: консольный слой `Console`/`App` с валидацией ввода,Dev,2026-09-22,2026-09-24,4,T23,0,Backlog
T25,Исправить ошибки по согласованному перечню (ISSUES §1),Dev,2026-09-22,2026-09-24,3,T23,0,Backlog
T26,"Модульные тесты GoogleTest: книги, студенты, деньги",Dev,2026-09-22,2026-09-24,3,"T21, T23",0,Backlog
T27,"Подключить GoogleTest через FetchContent, CTest, `gtest_discover_tests`",DevOps,2026-09-22,2026-09-23,1,T21,0,Backlog
T28,"Запуск тестов во время сборки (цель `run_tests ALL`), проверка в CI",DevOps,2026-09-23,2026-09-24,1,T27,0,Backlog
T29,Сквозные CLI-тесты (скриптовый ввод через CTest),Dev,2026-09-24,2026-09-26,2,"T24, T27",0,Backlog
T30,"F1: сохранение/загрузка данных в файл, формат, тесты",Dev,2026-09-24,2026-09-26,4,T23,0,Backlog
T31,"F2: возврат книг, даты, штрафы, лимит книг, отчёт о просрочке, тесты",Dev,2026-09-26,2026-09-29,4,T30,0,Backlog
T32,"F3: поиск книг, фильтр доступных, тесты",Dev,2026-09-29,2026-09-29,2,T23,0,Backlog
T33,"F4: удаление книги, закрытие счёта с возвратом залога, тесты",Dev,2026-09-29,2026-09-30,2,T31,0,Backlog
T34,"F5: история операций и выписка, тесты",Dev,2026-09-30,2026-10-01,2,T30,0,Backlog
T35,Проверка форматирования clang-format в CI,DevOps,2026-09-26,2026-09-26,0.5,T15,0,Backlog
T36,Ревью кода всех PR (каждый PR — минимум один аппрув),"PM, DevOps",2026-09-22,2026-10-01,3,,0,Backlog
T37,"Переписать README: сборка, запуск, использование, происхождение",Dev,2026-10-01,2026-10-02,1.5,T34,0,Backlog
T38,Контроль качества: прогон ACCEPTANCE.md на чистой машине (Windows и Linux),"PM, DevOps",2026-10-02,2026-10-03,2,T37,0,Backlog
T39,Написать сценарий сдачи (ACCEPTANCE.md),Dev,2026-10-01,2026-10-02,1,T34,0,Backlog
T40,"Сдача проекта Заказчику, фиксация замечаний",PM,2026-10-05,2026-10-05,1,T38,0,Backlog
